ep_start,ep_end,dur_d,n_days,hy,pr_min,z_min,cape,cape_pct,vix,vix_pct,SPX_1Y_dd,SPX_1Y_ddlag,SPX_1Y_fwd,NDX_1Y_dd,NDX_1Y_ddlag,NDX_1Y_fwd,SPX_2Y_dd,SPX_2Y_ddlag,SPX_2Y_fwd,NDX_2Y_dd,NDX_2Y_ddlag,NDX_2Y_fwd,SPX_3Y_dd,SPX_3Y_ddlag,SPX_3Y_fwd,NDX_3Y_dd,NDX_3Y_ddlag,NDX_3Y_fwd
2005-02-25,2005-03-15,18,13,2.85,0.06,-1.31,26.7,0.45,11.5,0.01,-7.2,1.8,6.8,-8.5,2.0,10.7,-7.7,15.5,16.1,-17.5,16.8,15.3,-16.3,34.9,12.9,-22.4,35.3,16.5
2006-05-11,2006-05-12,1,2,2.88,0.097,-1.13,25.7,0.27,12.5,0.13,-6.3,1.1,15.1,-12.2,2.3,13.9,-18.6,22.0,7.4,-25.6,22.0,20.5,-56.8,33.9,-32.3,-53.9,30.4,-19.3
2006-12-27,2007-06-26,181,109,2.87,0.0,-1.24,27.3,0.63,10.6,0.02,-10.1,11.0,3.6,-11.7,10.5,19.4,-51.9,22.8,-39.1,-53.9,22.8,-33.9,-56.8,26.4,-21.1,-53.9,22.8,5.2
2021-06-16,2022-01-20,218,58,3.12,0.079,-0.94,36.7,0.95,18.1,0.52,-22.1,11.9,-10.3,-31.8,11.9,-17.1,-25.4,15.9,4.4,-35.3,16.6,9.6,-25.4,15.9,29.9,-35.3,16.6,42.5
2024-03-18,2025-03-24,371,149,3.13,0.012,-1.06,33.8,0.89,14.3,0.28,-10.1,11.8,10.0,-14.0,4.7,7.9,-18.9,12.7,27.8,-22.5,12.7,33.9,-18.9,12.7,45.9,-22.5,12.7,64.7
2025-06-24,2026-05-26,336,188,3.06,0.02,-1.01,36.1,0.91,17.5,0.48,-9.1,9.2,23.3,-11.9,9.2,34.0,-9.1,9.2,23.3,-11.9,9.2,34.0,-9.1,9.2,23.3,-11.9,9.2,34.0
